id,first_name,last_name,email,gender,part_time_job,weekly_self_study_hours,career_aspiration,interest_areas,skills,education_level,experience,career_goals
1,Paul,Casey,paul.casey.1@gslingacademy.com,male,False,27,Frontend Developer,Web Development_UI/UX Design,HTML_CSS_JavaScript_UI Frameworks,Bachelor's Degree,1 years,Freelance
2,Danielle,Sandoval,danielle.sandoval.2@gslingacademy.com,female,False,47,Android Developer,Mobile App Development_Game Development,Java_Android SDK_iOS SDK_Game Engines,Master's Degree,2 years,Startup
3,Tina,Andrews,tina.andrews.3@gslingacademy.com,female,False,13,Data Scientist,Data Science_Machine Learning_Artificial Intelligence,Python_R_TensorFlow_PyTorch_Machine Learning Libraries,Bachelor's Degree,0 years,Research Scientist
4,Tara,Clark,tara.clark.4@gslingacademy.com,female,False,3,Cybersecurity Specialist,Cybersecurity_Cloud Computing,Cybersecurity Tools_Cloud Platforms,Bachelor's Degree,1 years,Security Engineer
5,Anthony,Campos,anthony.campos.5@gslingacademy.com,male,False,10,Database Designer,Database Management_Software Development,SQL_NoSQL_Databases_Software Development Tools,Master's Degree,3 years,Database Architect
6,Kelly,Wade,kelly.wade.6@gslingacademy.com,female,False,26,Robotics Engineer,Robotics_Automation_IoT,Robotics Automation_IoT Platforms,Bachelor's Degree,5 years,Robotics Engineer
7,Anthony,Smith,anthony.smith.7@gslingacademy.com,male,False,23,Software Tester,Software Testing_QA,Software Testing Tools_QA Frameworks,Associate's Degree,2 years,QA Automation Engineer
8,George,Short,george.short.8@gslingacademy.com,male,True,34,Business Systems Analyst,Business Systems Analysis_Product Management,Business Systems Analysis_Product Management Tools,Bachelor's Degree,0 years,Business Analyst
9,Stanley,Gutierrez,stanley.gutierrez.9@gslingacademy.com,male,False,25,UX Designer,User Experience Design_User Interface Design,UX/UI Design Tools_Prototyping Tools,Master's Degree,4 years,UX/UI Lead
10,Audrey,Simpson,audrey.simpson.10@gslingacademy.com,female,False,18,Software Architect,Technical Writing_Software Architecture,Technical Writing Tools_Software Documentation Tools,Bachelor's Degree,6 years,Technical Writer
11,Gabrielle,White,gabrielle.white.11@gslingacademy.com,female,False,7,iOS Developer,Mobile App Development_Game Development,Java_Android SDK_iOS SDK_Game Engines,Master's Degree,3 years,Mobile App Developer
12,Clinton,Randolph,clinton.randolph.12@gslingacademy.com,male,False,7,Product Manager,Business Systems Analysis_Product Management,Business Systems Analysis_Product Management Tools,Doctor of Law,4 years,Product Manager
13,Patricia,Gomez,patricia.gomez.13@gslingacademy.com,female,True,4,Machine Learning Engineer,Data Science_Machine Learning_Artificial Intelligence,Python_R_TensorFlow_PyTorch_Machine Learning Libraries,Doctor of Medicine,7 years,Data Scientist (Healthcare)
14,Pamela,Jackson,pamela.jackson.14@gslingacademy.com,female,False,2,UI Designer,User Experience Design_User Interface Design,UX/UI Design Tools_Prototyping Tools,Bachelor's Degree,8 years,UI/UX Designer
15,Laura,Jackson,laura.jackson.15@gslingacademy.com,female,False,39,Database Developer,Database Management_Software Development,SQL_NoSQL_Databases_Software Development Tools,Master's Degree,8 years,Software Engineer (Backend)
16,Roger,Wiley,roger.wiley.16@gslingacademy.com,male,False,0,Game Developer,Mobile App Development_Game Development,Java_Android SDK_iOS SDK_Game Engines,Master's Degree,9 years,Game Developer
17,Vicki,Thompson,vicki.thompson.17@gslingacademy.com,female,False,30,Backend Developer,Web Development_UI/UX Design,HTML_CSS_JavaScript_UI Frameworks,Bachelor's Degree,3 years,Front-End Developer
18,Maxwell,Davidson,maxwell.davidson.18@gslingacademy.com,male,False,28,Automation Engineer,Robotics_Automation_IoT,Robotics Automation_IoT Platforms,Bachelor's Degree,3 years,Automation Engineer
19,Jonathan,Werner,jonathan.werner.19@gslingacademy.com,male,False,37,Cybersecurity Engineer,Cybersecurity_Cloud Computing,Cybersecurity Tools_Cloud Platforms,Master's Degree,4 years,Cloud Security Architect
20,Angela,Rios,angela.rios.20@gslingacademy.com,female,False,27,Technical Writer,Technical Writing_Software Architecture,Technical Writing Tools_Software Documentation Tools,Bachelor's Degree,2 years,Software Development Engineer in Test (SDET)
21,Tim,Nichols,tim.nichols.21@gslingacademy.com,male,True,15,Data Engineer,Database Management_Software Development,SQL_NoSQL_Databases_Software Development Tools,Master's Degree,1 years,Full Stack Developer
22,Kyle,Willis,kyle.willis.22@gslingacademy.com,male,False,4,Artificial Intelligence Engineer,Data Science_Machine Learning_Artificial Intelligence,Python_R_TensorFlow_PyTorch_Machine Learning Libraries,Bachelor's Degree,1 years,Data Analyst
23,Shannon,Simpson,shannon.simpson.23@gslingacademy.com,female,False,2,Mobile App Tester,Mobile App Development_Game Development,Java_Android SDK_iOS SDK_Game Engines,Master's Degree,2 years,Mobile Game Developer
24,Sean,Griffin,sean.griffin.24@gslingacademy.com,male,False,1,Automation Tester,Software Testing_QA,Software Testing Tools_QA Frameworks,Bachelor's Degree,3 years,Software Tester
25,Cassandra,West,cassandra.west.25@gslingacademy.com,female,False,35,FullStack Developer,Web Development_UI/UX Design,HTML_CSS_JavaScript_UI Frameworks,Master's Degree,5 years,Web Developer
26,Patricia,Chavez,patricia.chavez.26@gslingacademy.com,female,False,22,Business Systems Analyst,Business Systems Analysis_Product Management,Business Systems Analysis_Product Management Tools,Bachelor's Degree,8 years,Business Systems Analyst
27,Jason,Williams,jason.williams.27@gslingacademy.com,male,False,34,UI Designer,User Experience Design_User Interface Design,UX/UI Design Tools_Prototyping Tools,Bachelor's Degree,6 years,Interaction Designer
28,Peter,Gibbs,peter.gibbs.28@gslingacademy.com,male,False,23,Information Security Specialist,Cybersecurity_Cloud Computing,Cybersecurity Tools_Cloud Platforms,Master's Degree,6 years,Penetration Tester
29,Jeffrey,Blanchard,jeffrey.blanchard.29@gslingacademy.com,male,False,17,Software Architect,Technical Writing_Software Architecture,Technical Writing Tools_Software Documentation Tools,Master's Degree,5 years,Software Architect
30,Carol,Hill,carol.hill.30@gslingacademy.com,female,False,19,IoT Engineer,Robotics_Automation_IoT,Robotics Automation_IoT Platforms,Bachelor's Degree,4 years,AI Engineer
31,Angie,Miller,angie.miller.31@gslingacademy.com,female,False,14,Mobile App Developer,Web Development_UI/UX Design,HTML_CSS_JavaScript_UI Frameworks,Master's Degree,2 years,Front-End Developer (React)
32,Cynthia,Knapp,cynthia.knapp.32@gslingacademy.com,female,False,30,Performance Tester,Software Testing_QA,Software Testing Tools_QA Frameworks,Master's Degree,3 years,QA Lead
33,Timothy,Bryant,timothy.bryant.33@gslingacademy.com,male,False,30,Product Manager,Business Systems Analysis_Product Management,Business Systems Analysis_Product Management Tools,Master's Degree,7 years,Business Systems Analyst (Project Management)
34,Phyllis,Diaz,phyllis.diaz.34@gslingacademy.com,female,False,24,FullStack Developer,Web Development_UI/UX Design,HTML_CSS_JavaScript_UI Frameworks,Bachelor's Degree,1 years,Freelance
35,Lisa,Burns,lisa.burns.35@gslingacademy.com,female,False,31,Android Developer,Mobile App Development_Game Development,Java_Android SDK_iOS SDK_Game Engines,Master's Degree,2 years,Startup
36,Kelly,Farley,kelly.farley.36@gslingacademy.com,female,False,21,Data Analyst,Data Science_Machine Learning_Artificial Intelligence,Python_R_TensorFlow_PyTorch_Machine Learning Libraries,Bachelor's Degree,0 years,Research Scientist
37,Ryan,Lee,ryan.lee.37@gslingacademy.com,male,False,19,Network Security Specialist,Cybersecurity_Cloud Computing,Cybersecurity Tools_Cloud Platforms,Bachelor's Degree,1 years,Security Engineer
38,Michael,Gilmore,michael.gilmore.38@gslingacademy.com,male,False,29,Database Developer,Database Management_Software Development,SQL_NoSQL_Databases_Software Development Tools,Master's Degree,3 years,Database Architect
39,Miguel,Martinez,miguel.martinez.39@gslingacademy.com,male,False,21,Machine Learning Engineer,Robotics_Automation_IoT,Robotics Automation_IoT Platforms,Bachelor's Degree,5 years,Robotics Engineer
40,Christopher,Taylor,christopher.taylor.40@gslingacademy.com,male,False,18,Security Tester,Software Testing_QA,Software Testing Tools_QA Frameworks,Associate's Degree,2 years,QA Automation Engineer
41,Emily,Holloway,emily.holloway.41@gslingacademy.com,female,False,31,Frontend Developer,Web Development_UI/UX Design,Business Systems Analysis_Product Management Tools,Bachelor's Degree,0 years,Business Analyst
42,Jesus,Rasmussen,jesus.rasmussen.42@gslingacademy.com,male,True,4,Android Developer,Mobile App Development_Game Development,UX/UI Design Tools_Prototyping Tools,Master's Degree,4 years,UX/UI Lead
43,Lauren,Farmer,lauren.farmer.43@gslingacademy.com,female,True,3,Data Scientist,Data Science_Machine Learning_Artificial Intelligence,Technical Writing Tools_Software Documentation Tools,Bachelor's Degree,6 years,Technical Writer
44,Pamela,Cole,pamela.cole.44@gslingacademy.com,female,False,3,Cybersecurity Specialist,Cybersecurity_Cloud Computing,Java_Android SDK_iOS SDK_Game Engines,Master's Degree,3 years,Mobile App Developer
45,David,Gillespie,david.gillespie.45@gslingacademy.com,male,True,3,Database Designer,Database Management_Software Development,Business Systems Analysis_Product Management Tools,Doctor of Law,4 years,Product Manager
46,Kenneth,Davis,kenneth.davis.46@gslingacademy.com,male,True,5,Robotics Engineer,Robotics_Automation_IoT,Python_R_TensorFlow_PyTorch_Machine Learning Libraries,Doctor of Medicine,7 years,Data Scientist (Healthcare)
47,Elizabeth,Martin,elizabeth.martin.47@gslingacademy.com,female,False,27,Software Tester,Software Testing_QA,UX/UI Design Tools_Prototyping Tools,Bachelor's Degree,8 years,UI/UX Designer
48,Billy,Soto,billy.soto.48@gslingacademy.com,male,False,28,Business Systems Analyst,Business Systems Analysis_Product Management,SQL_NoSQL_Databases_Software Development Tools,Master's Degree,8 years,Software Engineer (Backend)
49,Kimberly,Kelly,kimberly.kelly.49@gslingacademy.com,female,False,32,UX Designer,User Experience Design_User Interface Design,Java_Android SDK_iOS SDK_Game Engines,Master's Degree,9 years,Game Developer
50,Sonia,Noble,sonia.noble.50@gslingacademy.com,female,False,14,Software Architect,Technical Writing_Software Architecture,HTML_CSS_JavaScript_UI Frameworks,Bachelor's Degree,3 years,Front-End Developer
51,Christopher,Stewart,christopher.stewart.51@gslingacademy.com,male,False,16,iOS Developer,Mobile App Development_Game Development,Robotics Automation_IoT Platforms,Bachelor's Degree,3 years,Automation Engineer
52,Sandra,Thornton,sandra.thornton.52@gslingacademy.com,female,False,24,Product Manager,Business Systems Analysis_Product Management,Cybersecurity Tools_Cloud Platforms,Master's Degree,4 years,Cloud Security Architect
53,Luke,Shannon,luke.shannon.53@gslingacademy.com,male,False,0,Machine Learning Engineer,Data Science_Machine Learning_Artificial Intelligence,Technical Writing Tools_Software Documentation Tools,Bachelor's Degree,2 years,Software Development Engineer in Test (SDET)
54,Lindsay,Pruitt,lindsay.pruitt.54@gslingacademy.com,female,False,32,UI Designer,User Experience Design_User Interface Design,SQL_NoSQL_Databases_Software Development Tools,Master's Degree,1 years,Full Stack Developer
55,Jamie,Taylor,jamie.taylor.55@gslingacademy.com,male,False,3,Database Developer,Database Management_Software Development,Python_R_TensorFlow_PyTorch_Machine Learning Libraries,Bachelor's Degree,1 years,Data Analyst
56,Jennifer,Murphy,jennifer.murphy.56@gslingacademy.com,female,False,31,Game Developer,Mobile App Development_Game Development,Java_Android SDK_iOS SDK_Game Engines,Master's Degree,2 years,Mobile Game Developer
